George Washington,92
Abraham Lincoln,88
Thomas Jefferson,85
Theodore Roosevelt,76
Franklin D. Roosevelt,69
John F. Kennedy,67
John Adams,65
James Madison,65
Dwight D. Eisenhower,57
Harry S. Truman,56
Andrew Jackson,55
John Quincy Adams,52
Ronald Reagan,50
William H. Taft,42
James Monroe,39
Woodrow Wilson,37
Gerald Ford,36
Ulysses S. Grant,34
Chester A. Arthur,26
James A. Garfield,26
Jimmy Carter,23
Andrew Johnson,19
Rutherford B. Hayes,19
William McKinley,18
George Bush,16
William J. Clinton,14
Herbert C. Hoover,14
Grover Cleveland,14
Zachary Taylor,8
Calvin Coolidge,7
James K. Polk,6
William H. Harrison,5
Martin Van Buren,4
Lyndon B. Johnson,3
Warren G. Harding,-4
James Buchanan,-4
Benjamin Harrison,-5
John Tyler,-6
Franklin Pierce,-8
Millard Fillmore,-8
George W. Bush,-18
Richard M. Nixon,-28
